Material Name, Length, Width, Thickness,Max Displacement,Natural Frequency,Max Strain
Brass,0.0005,0.0005,0.0003575510204081633,1.1052115106373396e-6,6026.65469058884,0.0011855085101856852
Brass,0.0005,0.0005,0.0004563265306122449,5.316584257473317e-7,8688.628840660367,0.000727829534676143
Digital ABS,0.0005,0.0005,0.0005551020408163266,1.108705839059108e-5,1903.1842387271824,0.018463346217800658
Rigid Opeque,0.0005,0.0005,0.0005551020408163266,1.4413175907768404e-5,1669.202998794419,0.024002350083140854
Brass,0.0005,0.0005,0.0005551020408163266,2.953532677995094e-7,11656.422978593324,0.0004918536051518362
Digital ABS,0.0005,0.0005,0.0006538775510204082,6.783371112326188e-6,2433.1113497421684,0.01330648227177129
Rigid Opeque,0.0005,0.0005,0.0006538775510204082,8.818382446024044e-6,2133.979821158319,0.017298426953302675
Brass,0.0005,0.0005,0.0006538775510204082,1.8070549701115982e-7,14901.126571411869,0.0003544778035247486
Digital ABS,0.0005,0.0005,0.0007526530612244898,4.44785289863443e-6,3004.7292119969575,0.010043070300100272
Rigid Opeque,0.0005,0.0005,0.0007526530612244898,5.782208768224758e-6,2635.3218512280223,0.013055991390130355
Brass,0.0005,0.0005,0.0007526530612244898,1.1848859307190963e-7,18400.732674287596,0.00026754240688726694
Digital ABS,0.0005,0.0005,0.0008514285714285714,3.0724887859697046e-6,3615.1903373512123,0.007848014213305473
Rigid Opeque,0.0005,0.0005,0.0008514285714285714,3.994235421760616e-6,3170.7316766951644,0.010202418477297116
Brass,0.0005,0.0005,0.0008514285714285714,8.184964014078865e-8,22137.75651201449,0.00020906736653104305
Digital ABS,0.0005,0.0005,0.0009502040816326531,2.21046856783125e-6,4262.161705449147,0.006301188766421816
Rigid Opeque,0.0005,0.0005,0.0009502040816326531,2.873609138180625e-6,3738.1631033474982,0.00819154539634836
Brass,0.0005,0.0005,0.0009502040816326531,5.888587766963102e-8,26097.867885754877,0.00016786080393661347
Digital ABS,0.0005,0.0005,0.0010489795918367348,1.6429863474769555e-6,4943.686143430461,0.005170377444509114
Rigid Opeque,0.0005,0.0005,0.0010489795918367348,2.1358822517200422e-6,4335.899577032726,0.0067214906778618475
Brass,0.0005,0.0005,0.0010489795918367348,4.376844366703883e-8,30269.041439587538,0.00013773661251953855
Digital ABS,0.0005,0.0005,0.0011477551020408164,1.25425958492966e-6,5658.09100285416,0.004318748513659842
Rigid Opeque,0.0005,0.0005,0.0011477551020408164,1.6305374604085581e-6,4962.4740880221925,0.005614373067757795
Brass,0.0005,0.0005,0.0011477551020408164,3.3412957538350245e-8,34640.99681974807,0.00011504967746674393
Digital ABS,0.0005,0.0005,0.001246530612244898,9.790983808816037e-7,6403.925197203891,0.003661428312505002
Rigid Opeque,0.0005,0.0005,0.001246530612244898,1.2728278951460848e-6,5616.6139492500215,0.004759856806256502
Brass,0.0005,0.0005,0.001246530612244898,2.608279712616058e-8,39204.81266879262,9.753901521219725e-5
Digital ABS,0.0005,0.0005,0.0013453061224489797,7.788823712983599e-7,7179.914184571856,0.0031435056683257892
Rigid Opeque,0.0005,0.0005,0.0013453061224489797,1.0125470826878678e-6,6297.2013135150355,0.004086557368823527
Brass,0.0005,0.0005,0.0013453061224489797,2.0749137383772265e-8,43952.65061901922,8.37418246737715e-5
Digital ABS,0.0005,0.0005,0.0014440816326530613,6.297382177865333e-7,7984.92680753227,0.002728180181055618
Rigid Opeque,0.0005,0.0005,0.0014440816326530613,8.186596831224933e-7,7003.244090125852,0.003546634235372304
Brass,0.0005,0.0005,0.0014440816326530613,1.6776005634989015e-8,48877.551970710054,7.267776482031568e-5
Digital ABS,0.0005,0.0005,0.001542857142857143,5.163666555686257e-7,8817.950251996977,0.002390039948631925
Rigid Opeque,0.0005,0.0005,0.001542857142857143,6.712766522392134e-7,7733.85398236439,0.003107051933221502
Brass,0.0005,0.0005,0.001542857142857143,1.3755837705787993e-8,53973.28414218953,6.366987738107588e-5
Digital ABS,0.0005,0.0005,0.0016416326530612245,4.286545555432837e-7,9678.070734178236,0.0021110799457899026
Rigid Opeque,0.0005,0.0005,0.0016416326530612245,5.572509222062689e-7,8488.22954883169,0.0027444039295268737
Brass,0.0005,0.0005,0.0016416326530612245,1.1419225198324291e-8,59234.22223651999,5.623851887468608e-5
Digital ABS,0.0005,0.0005,0.0017404081632653062,3.59734513937734e-7,10564.458333088636,0.001878254653996528
Rigid Opeque,0.0005,0.0005,0.0017404081632653062,4.6765486811905425e-7,9265.642900670358,0.0024417310501954866
Brass,0.0005,0.0005,0.0017404081632653062,9.583224059024916e-9,64655.25602392019,5.003616414818234e-5
Digital ABS,0.0005,0.0005,0.0018391836734693878,3.0483174071486475e-7,11476.35488984672,0.001681924682034098
Rigid Opeque,0.0005,0.0005,0.0018391836734693878,3.962812629293242e-7,10065.429088553505,0.002186502086644328
Brass,0.0005,0.0005,0.0018391836734693878,8.120636332310742e-9,70231.71572721009,4.480602528170473e-5
Digital ABS,0.0005,0.0005,0.0019379591836734694,2.60556355140326e-7,12413.064219586364,0.001514842743926042
Rigid Opeque,0.0005,0.0005,0.0019379591836734694,3.3872326168242377e-7,10886.97751796137,0.001969295567103855
Brass,0.0005,0.0005,0.0019379591836734694,6.94115730703944e-9,75959.3119868084,4.035503864549787e-5
Digital ABS,0.0005,0.0005,0.002036734693877551,2.2445651586874094e-7,13373.944096835918,0.0013714751194102252
Rigid Opeque,0.0005,0.0005,0.002036734693877551,2.9179347062936325e-7,11729.724919893846,0.0017829176552332927
Brass,0.0005,0.0005,0.002036734693877551,5.979471147164751e-9,81834.08670012024,3.6535789009410746e-5
Digital ABS,0.0005,0.0005,0.002135510204081633,1.9472903029073133e-7,14358.399621359704,0.0012475374936503343
Rigid Opeque,0.0005,0.0005,0.002135510204081633,2.531477393779508e-7,12593.149532328538,0.0016217987417454346
Brass,0.0005,0.0005,0.002135510204081633,5.1875416817619465e-9,87852.37232589575,3.323414458650429e-5
Digital ABS,0.0005,0.0005,0.0022342857142857143,1.7002766115207477e-7,15365.877672951212,0.001139671123036478
Rigid Opeque,0.0005,0.0005,0.0022342857142857143,2.2103595949769722e-7,13476.766236752694,0.0014815724599474215
Brass,0.0005,0.0005,0.0022342857142857143,4.529505796218191e-9,94010.75786632561,3.0360630279793926e-5
Digital ABS,0.0005,0.0005,0.002333061224489796,1.4933353736835318e-7,16395.862235563345,0.0010452128566500085
Rigid Opeque,0.0005,0.0005,0.002333061224489796,1.9413359857885917e-7,14380.122457154104,0.0013587767136450113
Brass,0.0005,0.0005,0.002333061224489796,3.978221245087728e-9,100306.06018038193,2.784430118806708e-5
Digital ABS,0.0005,0.0005,0.0024318367346938775,1.3186592006965139e-7,17447.870422992302,0.0009620291654387546
Rigid Opeque,0.0005,0.0005,0.0024318367346938775,1.7142569609054681e-7,15302.794674315328,0.0012506379150703808
Brass,0.0005,0.0005,0.0024318367346938775,3.5128895063284823e-9,106735.29959966148,2.5628321239230728e-5
Digital ABS,0.0005,0.0005,0.0025306122448979593,1.1701971887073091e-7,18521.44907629665,0.0008883946004063654
Rigid Opeque,0.0005,0.0005,0.0025306122448979593,1.5212563453195018e-7,16244.385441552746,0.001154912980528275
Brass,0.0005,0.0005,0.0025306122448979593,3.117391247138393e-9,113295.6790507377,2.366672538643841e-5
Digital ABS,0.0005,0.0005,0.0026293877551020407,1.0432106460431828e-7,19616.171831342926,0.0008229015896094104
Rigid Opeque,0.0005,0.0005,0.0026293877551020407,1.3561738398561379e-7,17204.52081278397,0.0010697720664922335
